origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Dulles International Airport|||tolls|Georgetown University|driving|imperial|eastern|2017-04-21 04:00:00-05:00||38.9056675|-77.0751271|1896|40453|1927|-77.4490867|38.9555511|||||||
Dulles International Airport|begin|finish||Georgetown University|transit|imperial|eastern|2017-04-21 04:00:00-05:00||38.9056675|-77.0751271|n/a|40559|3639|-77.44895369999999|38.9534528|||||||
Dulles International Airport|end|start||Georgetown University|transit|imperial|eastern|2017-04-21 04:00:00-05:00||38.9056675|-77.0751271|n/a|40559|3639|-77.44895369999999|38.9534528|||||||
Dulles International Airport|begin|finish||Georgetown University|transit|imperial|eastern|2017-04-21 04:00:00-05:00|N Moore St & Rosslyn Station Bus Bay C|38.896562|-77.071619|n/a|38957|2274|-77.44895369999999|38.9534528|38.9056675|-77.0751271|346|1953|401|-77.0714988|38.8965568
Dulles International Airport|begin|finish||Georgetown University|transit|imperial|eastern|2017-04-21 04:00:00-05:00|Dulles Airport (Curb 2E)|38.9535029|-77.4489538|n/a|0|0|-77.4489535|38.9535029|38.9056675|-77.0751271|1886|39721|1949|-77.4489538|38.9535029
Dulles International Airport|end|start||Georgetown University|transit|imperial|eastern|2017-04-21 04:00:00-05:00|N Moore St & Rosslyn Station Bus Bay C|38.8965568|-77.0714988|1695|39232|1739|-77.4490867|38.9555511|38.9056675|-77.0751271|n/a|2150|689|-77.071625|38.896093
Dulles International Airport|end|start||Georgetown University|transit|imperial|eastern|2017-04-21 04:00:00-05:00|Dulles Airport (Curb 2E)|38.9535029|-77.4489538|565|3126|507|-77.4490867|38.9555511|38.9056675|-77.0751271|n/a|40559|3639|-77.44895369999999|38.9534528
Dulles International Airport|||tolls|Georgetown University|driving|imperial|eastern|2017-04-21 04:15:00-05:00||38.9056675|-77.0751271|1919|40453|1927|-77.4490867|38.9555511|||||||
Dulles International Airport|begin|finish||Georgetown University|transit|imperial|eastern|2017-04-21 04:15:00-05:00||38.9056675|-77.0751271|n/a|40559|3639|-77.44895369999999|38.9534528|||||||
Dulles International Airport|end|start||Georgetown University|transit|imperial|eastern|2017-04-21 04:15:00-05:00||38.9056675|-77.0751271|n/a|40559|3639|-77.44895369999999|38.9534528|||||||
Dulles International Airport|begin|finish||Georgetown University|transit|imperial|eastern|2017-04-21 04:15:00-05:00|N Moore St & Rosslyn Station Bus Bay C|38.896562|-77.071619|n/a|38957|2274|-77.44895369999999|38.9534528|38.9056675|-77.0751271|351|1953|401|-77.0714988|38.8965568
Dulles International Airport|begin|finish||Georgetown University|transit|imperial|eastern|2017-04-21 04:15:00-05:00|Dulles Airport (Curb 2E)|38.9535029|-77.4489538|n/a|0|0|-77.4489535|38.9535029|38.9056675|-77.0751271|1865|39743|1930|-77.4489538|38.9535029
Dulles International Airport|end|start||Georgetown University|transit|imperial|eastern|2017-04-21 04:15:00-05:00|N Moore St & Rosslyn Station Bus Bay C|38.8965568|-77.0714988|1719|39232|1739|-77.4490867|38.9555511|38.9056675|-77.0751271|n/a|2150|689|-77.071625|38.896093
Dulles International Airport|end|start||Georgetown University|transit|imperial|eastern|2017-04-21 04:15:00-05:00|Dulles Airport (Curb 2E)|38.9535029|-77.4489538|493|3126|507|-77.4490867|38.9555511|38.9056675|-77.0751271|n/a|40559|3639|-77.44895369999999|38.9534528
Dulles International Airport|||tolls|Georgetown University|driving|imperial|eastern|2017-04-21 04:30:00-05:00||38.9056675|-77.0751271|1907|40453|1927|-77.4490867|38.9555511|||||||
Dulles International Airport|begin|finish||Georgetown University|transit|imperial|eastern|2017-04-21 04:30:00-05:00||38.9056675|-77.0751271|n/a|40559|3639|-77.44895369999999|38.9534528|||||||
Dulles International Airport|end|start||Georgetown University|transit|imperial|eastern|2017-04-21 04:30:00-05:00||38.9056675|-77.0751271|n/a|40559|3639|-77.44895369999999|38.9534528|||||||
Dulles International Airport|begin|finish||Georgetown University|transit|imperial|eastern|2017-04-21 04:30:00-05:00|N Moore St & Rosslyn Station Bus Bay C|38.896562|-77.071619|n/a|38957|2274|-77.44895369999999|38.9534528|38.9056675|-77.0751271|364|1953|401|-77.0714988|38.8965568
