origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 04:00:00-05:00||40.7714389|-73.8718939|1171|15864|1475|-73.99977539999999|40.7271183|||||||
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:00:00-05:00||40.774038|-73.872079|n/a|19273|2944|-73.99437209999999|40.7284833|||||||
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:00:00-05:00||40.774038|-73.872079|n/a|19273|2944|-73.99437209999999|40.7284833|||||||
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:00:00-05:00|Grand Central - 42 St Station|40.7522756|-73.9774709|690|3329|885|-73.9932975|40.7295629|40.774038|-73.872079|n/a|16429|1848|-73.97761360000001|40.7523191
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:00:00-05:00|23 St|40.74003099999999|-73.98640879999999|379|1769|529|-73.9932975|40.7295629|40.774038|-73.872079|n/a|17686|2520|-73.9863381|40.7400007
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:00:00-05:00|Astor Place Station|40.7301688|-73.99099249999999|129|579|169|-73.9932975|40.7295629|40.774038|-73.872079|n/a|18881|2700|-73.99107|40.730054
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:00:00-05:00|28 St|40.7432513|-73.98390549999999|492|2196|675|-73.9932975|40.7295629|40.774038|-73.872079|n/a|17251|2400|-73.98386289999999|40.7433087
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:00:00-05:00|33 St|40.7466223|-73.9818023|674|3342|899|-73.9932975|40.7295629|40.774038|-73.872079|n/a|16861|2400|-73.9818873|40.7466576
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:00:00-05:00|Grand Central Terminal|40.7505727|-73.97600709999999|n/a|3334|875|-73.99437209999999|40.7284833|40.7714389|-73.8718939|861|13332|896|-73.9760036|40.7505712
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:00:00-05:00|LaGuardia Airport|40.774038|-73.872079|n/a|19273|3004|-73.99437209999999|40.7284833|40.7734911|-73.8758586|81|334|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 04:15:00-05:00||40.7714389|-73.8718939|1173|15864|1475|-73.99977539999999|40.7271183|||||||
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:15:00-05:00||40.774059|-73.87185699999999|n/a|18252|2439|-73.99433259999999|40.7285304|||||||
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:15:00-05:00||40.774059|-73.87185699999999|n/a|18252|2439|-73.99433259999999|40.7285304|||||||
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:15:00-05:00|West 4 Street - Washington Square Station|40.73101|-74.0013002|111|254|130|-74.0001873|40.7313277|40.774059|-73.87185699999999|n/a|17606|2160|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:15:00-05:00|47-50 Streets - Rockefeller Center Station|40.7578741|-73.9819016|624|4036|1035|-73.99977539999999|40.7271183|40.774059|-73.87185699999999|n/a|14210|1680|-73.98179069999999|40.7578276
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:15:00-05:00|36 St|40.7520038|-73.9287806|1260|8468|1738|-73.9932975|40.7295629|40.774059|-73.87185699999999|n/a|9077|1560|-73.928781|40.752039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:15:00-05:00|Roosevelt Av - Jackson Heights Subway Station|40.7465008|-73.8910021|1103|12147|1453|-73.99977539999999|40.7271183|40.774059|-73.87185699999999|n/a|5103|480|-73.890689|40.746515
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:15:00-05:00|Northern Blvd|40.7530768|-73.9069949|1201|12838|1566|-73.99977539999999|40.7271183|40.774059|-73.87185699999999|n/a|6730|1260|-73.9071013|40.7531039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:15:00-05:00|Lexington Av - 63 St Subway Station|40.76478729999999|-73.9664645|1022|5285|1391|-73.9932975|40.7295629|40.774059|-73.87185699999999|n/a|12197|1440|-73.96611299999999|40.764629
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:15:00-05:00|21 St - Queensbridge|40.754101|-73.9423347|1127|7212|1361|-73.9932975|40.7295629|40.774059|-73.87185699999999|n/a|9907|1200|-73.94247419999999|40.75417770000001
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:15:00-05:00|74 St/Roosevelt Av Station|40.746543|-73.890732|n/a|13219|1722|-73.99433259999999|40.7285304|40.7714389|-73.8718939|385|4624|414|-73.890765|40.7464059
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:15:00-05:00|LaGuardia Airport|40.774059|-73.87185699999999|n/a|18252|2439|-73.99433259999999|40.7285304|40.7734911|-73.8758586|81|334|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 04:30:00-05:00||40.7714389|-73.8718939|1160|15864|1475|-73.99977539999999|40.7271183|||||||
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:30:00-05:00||40.774059|-73.87185699999999|n/a|18252|2439|-73.99433259999999|40.7285304|||||||
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:30:00-05:00||40.774059|-73.87185699999999|n/a|18252|2439|-73.99433259999999|40.7285304|||||||
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:30:00-05:00|West 4 Street - Washington Square Station|40.73101|-74.0013002|104|254|130|-74.0001873|40.7313277|40.774059|-73.87185699999999|n/a|17606|2160|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:30:00-05:00|47-50 Streets - Rockefeller Center Station|40.7578741|-73.9819016|642|4036|1035|-73.99977539999999|40.7271183|40.774059|-73.87185699999999|n/a|14210|1680|-73.98179069999999|40.7578276
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:30:00-05:00|36 St|40.7520038|-73.9287806|1221|8468|1738|-73.9932975|40.7295629|40.774059|-73.87185699999999|n/a|9077|1500|-73.928781|40.752039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:30:00-05:00|Roosevelt Av - Jackson Heights Subway Station|40.7465008|-73.8910021|1130|12147|1453|-73.99977539999999|40.7271183|40.774059|-73.87185699999999|n/a|5103|480|-73.890689|40.746515
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:30:00-05:00|Northern Blvd|40.7530768|-73.9069949|1231|12838|1566|-73.99977539999999|40.7271183|40.774059|-73.87185699999999|n/a|6730|1260|-73.9071013|40.7531039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:30:00-05:00|Lexington Av - 63 St Subway Station|40.76478729999999|-73.9664645|981|5285|1391|-73.9932975|40.7295629|40.774059|-73.87185699999999|n/a|12197|1440|-73.96611299999999|40.764629
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:30:00-05:00|21 St - Queensbridge|40.754101|-73.9423347|1125|7212|1361|-73.9932975|40.7295629|40.774059|-73.87185699999999|n/a|9907|1200|-73.94247419999999|40.75417770000001
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:30:00-05:00|74 St/Roosevelt Av Station|40.746543|-73.890732|n/a|13219|1722|-73.99433259999999|40.7285304|40.7714389|-73.8718939|395|4624|414|-73.890765|40.7464059
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:30:00-05:00|LaGuardia Airport|40.774059|-73.87185699999999|n/a|18252|2439|-73.99433259999999|40.7285304|40.7734911|-73.8758586|97|334|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 04:45:00-05:00||40.7714389|-73.8718939|1196|15864|1475|-73.99977539999999|40.7271183|||||||
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:45:00-05:00||40.774059|-73.87185699999999|n/a|18252|2499|-73.99433259999999|40.7285304|||||||
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:45:00-05:00||40.774059|-73.87185699999999|n/a|18252|2499|-73.99433259999999|40.7285304|||||||
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:45:00-05:00|West 4 Street - Washington Square Station|40.73101|-74.0013002|111|254|130|-74.0001873|40.7313277|40.774059|-73.87185699999999|n/a|17606|2220|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:45:00-05:00|47-50 Streets - Rockefeller Center Station|40.7578741|-73.9819016|670|4036|1035|-73.99977539999999|40.7271183|40.774059|-73.87185699999999|n/a|14210|1740|-73.98179069999999|40.7578276
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:45:00-05:00|36 St|40.7520038|-73.9287806|1339|7927|1572|-73.9932975|40.7295629|40.774059|-73.87185699999999|n/a|9077|1740|-73.928781|40.752039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:45:00-05:00|Roosevelt Av - Jackson Heights Subway Station|40.7465008|-73.8910021|1177|12147|1453|-73.99977539999999|40.7271183|40.774059|-73.87185699999999|n/a|5103|480|-73.890689|40.746515
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:45:00-05:00|Northern Blvd|40.7530768|-73.9069949|1268|12838|1566|-73.99977539999999|40.7271183|40.774059|-73.87185699999999|n/a|6730|1200|-73.9071013|40.7531039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:45:00-05:00|Lexington Av - 63 St Subway Station|40.76478729999999|-73.9664645|1039|5285|1391|-73.9932975|40.7295629|40.774059|-73.87185699999999|n/a|12197|1680|-73.96611299999999|40.764629
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:45:00-05:00|21 St - Queensbridge|40.754101|-73.9423347|1162|7212|1361|-73.9932975|40.7295629|40.774059|-73.87185699999999|n/a|9907|1260|-73.94247419999999|40.75417770000001
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:45:00-05:00|74 St/Roosevelt Av Station|40.746543|-73.890732|n/a|13219|1722|-73.99433259999999|40.7285304|40.7714389|-73.8718939|370|4624|414|-73.890765|40.7464059
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 04:45:00-05:00|LaGuardia Airport|40.774059|-73.87185699999999|n/a|18252|2499|-73.99433259999999|40.7285304|40.7734911|-73.8758586|101|334|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 05:00:00-05:00||40.7714389|-73.8718939|1187|15864|1475|-73.99977539999999|40.7271183|||||||
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 05:00:00-05:00||40.774059|-73.87185699999999|n/a|18737|2559|-73.99433259999999|40.7285304|||||||
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-13 05:00:00-05:00||40.774059|-73.87185699999999|n/a|18737|2559|-73.99433259999999|40.7285304|||||||
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 05:00:00-05:00|West 4 Street - Washington Square Station|40.73101|-74.0013002|94|254|130|-74.0001873|40.7313277|40.774059|-73.87185699999999|n/a|17606|2400|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-13 05:00:00-05:00|5 Av/53 St|40.7602762|-73.9754916|905|4753|1395|-74.0001873|40.7313277|40.774059|-73.87185699999999|n/a|13094|1620|-73.97553979999999|40.76020949999999
